Cont1,Cont2,Cont3,Cont4,Cont5,Cont6,Cont7,Cont8,Cont9,Cont10
95,-2.0,95,0,44,0,28.0,44,82,1
48,0,95,0,44,0,33.0,44,82,1
55,0,95,0,44,0,26.0,126.0,100.0,1
95,0,95,0,50,0,57.0,44,0,1
38,0,95,0,44,0,65.0,44,4.0,1
37,0,95,0,28,0,69.0,44,8,1
37,0,95,0,44,0,41,44,44,1
37,0,95,0,44,-22,42,44,12.0,1
43,0,95,0,44,13,41,44,0,1
36,0,95,0,44,0,51,44,0,1
45,0,95,0,44,31,51,44,0,1
55,0,95,0,44,0,51,44,56.0,4
58,0,95,0,44,0,30.0,44,2,1
48,0,95,0,44,0,40,44,2,1
95,0,95,0,44,0,2,44,34.0,1
54,-1,95,0,44,0,32.0,44,0,1
56,0,95,0,44,0,40,44,82,4
79,0,95,0,44,-19,4.0,51,122.0,1
37,0,95,0,44,0,60.0,44,14.0,1
46,-3.0,95,0,44,0,63.0,51,82,1
37,0,95,0,44,-11,51,44,22.0,1
37,0,95,0,44,-10,41,44,24.0,1
56,0,95,0,-22,0,22,101,80.0,4
55,0,95,0,44,0,27.0,51,82.0,4
54,0,95,0,44,0,26.0,44,0,1
55,0,77,0,28,0,21.0,51,28.0,4
37,0,95,0,28,0,51,44,8,1
95,-1,95,0,44,0,23.0,44,40,4
95,-3.0,95,0,44,-16,42,44,2,1
41,-1,95,0,44,-14,48.0,50,82,1
39,0,95,0,44,0,68.0,44,0,1
46,0,95,0,44,4,61.0,51,0,1
37,0,95,0,44,-10,39,51,4.0,1
95,0,76,0,44,8,32.0,44,0,1
53,0,95,0,44,14,26.0,44,0,1
44,0,95,0,44,5,37.0,44,0,1
56,0,95,0,44,0,43.0,44,18.0,4
56,0,95,0,50,0,51,44,82,4
37,0,95,0,44,0,38.0,51,2,1
52,0,95,0,44,0,31.0,44,82,1
80,0,95,0,44,10,51,126.0,122.0,1
95,0,76,0,44,4,39,40,82,1
55,0,95,0,44,22,51,44,60,4
44,0,95,0,44,11,31.0,44,0,1
43,-5.0,95,0,44,0,39,44,2,1
41,-1,76,0,44,0,35.0,51,2,1
95,0,95,0,44,-10,41,42,2,1
55,0,77,0,44,-11,22,51,50,4
67,-2.0,95,0,44,0,43.0,44,0,1
37,-67.0,95,0,44,31,69.0,44,0,1
56,0,95,0,44,-14,52.0,44,82,1
42,0,95,0,44,0,44,51,0,1
56,0,95,0,44,-19,28.0,44,2,1
38,0,95,0,44,4,42,44,82,1
45,0,95,0,44,0,41,42,2,1
44,0,95,0,44,0,38.0,44,0,1
45,0,95,0,44,0,37.0,44,2,1
53,-1,95,0,44,4,35.0,44,0,1
51,0,95,0,44,19,31.0,44,0,1
41,0,95,0,44,0,41,51,2,1
46,0,95,0,44,0,51,44,82,1
43,0,77,0,44,0,34.0,44,2,1
45,0,76,0,44,0,31.0,44,0,1
41,0,95,0,44,4,55.0,44,0,1
37,0,95,0,44,0,44,44,10.0,1
83,0,95,0,44,0,51,44,88.0,1
56,0,95,0,44,0,25.0,104.0,80.0,4
43,0,95,0,44,-6,44,44,2,1
56,0,95,0,44,0,42,44,14.0,4
46,0,95,0,44,9,32.0,44,0,1
37,0,95,0,44,0,42,44,12.0,1
43,-1,95,0,44,-6,39,44,2,1
37,0,95,0,44,0,46.0,44,14.0,1
55,0,95,0,50,0,40,44,6.0,4
95,0,95,0,44,0,33.0,44,0,1
37,0,95,0,44,-11,42,44,36.0,1
48,0,95,0,44,0,39,44,2,1
37,0,95,0,44,0,53.0,44,6.0,1
55,0,95,0,44,9,51,50,8,4
51,-3.0,95,0,44,1,51,44,0,1
37,0,95,0,44,11,41,44,82,1
37,0,95,0,44,0,59.0,44,82,1
45,-1,77,0,44,0,32.0,44,0,1
49,0,95,0,44,18,35.0,44,0,1
53,0,95,0,44,-22,28.0,44,2,1
37,0,95,0,28,0,53.0,44,8,1
37,0,77,0,44,0,41,51,0,1
70,57,95,0,44,0,51,126.0,114.0,1
95,-2.0,95,0,44,0,50,44,82,1
59,0,95,0,44,21,51,44,0,1
49,0,95,0,44,4,46.0,44,0,1
45,0,95,0,44,0,41,42,2,1
95,0,95,0,44,6,33.0,51,0,1
56,0,95,0,44,1,22,44,12.0,4
55,-3.0,95,0,44,0,51,42,82,1
49,0,95,0,44,3,51,44,0,1
39,0,77,0,44,0,38.0,44,0,1
55,-1,95,0,44,-13,23.0,44,34.0,4
95,0,95,0,44,15,51,44,0,1
37,0,95,0,44,-26,44,44,18.0,1
41,0,95,0,44,0,41,44,82,1
45,-3.0,95,0,44,0,44,44,0,1
37,0,95,0,44,24,46.0,44,30.0,1
43,0,95,0,44,0,34.0,44,2,1
84,0,95,0,44,-6,5.0,44,78.0,1
95,0,95,0,44,-23,43.0,44,32.0,1
37,0,95,0,44,7,51,51,0,1
43,0,77,0,44,-19,34.0,44,2,1
56,0,95,0,50,23,42,51,6.0,4
50,0,95,0,50,0,28.0,44,2,1
39,0,95,0,44,0,51,51,0,1
43,0,95,0,44,-10,37.0,44,2,1
95,0,95,0,44,0,42,44,82,1
58,-4.0,91,0,44,0,51,44,0,1
45,0,95,0,44,0,49.0,50,0,1
38,0,76,0,44,8,38.0,44,0,1
37,0,95,0,44,-1,41,44,2,1
79,0,95,0,44,13,4.0,51,120.0,1
36,-1,76,0,44,0,39,51,82,1
85,0,95,0,44,-25,3.0,44,82.0,1
95,0,77,0,44,0,41,44,0,1
37,0,95,0,44,-19,41,44,10.0,1
95,0,95,0,44,14,34.0,44,0,1
54,0,77,0,28,0,23.0,44,26.0,4
43,-5.0,77,0,44,19,34.0,44,0,1
41,0,95,0,44,-1,42,44,2,1
43,0,77,0,44,-34,34.0,44,2,1
56,0,95,0,44,0,25.0,51,82,1
55,0,95,0,44,9,26.0,115.0,82,4
37,0,95,0,44,16,66.0,51,14.0,1
50,0,95,0,44,0,39,44,2,1
45,0,95,0,44,0,39,51,2,1
48,0,95,0,44,0,51,51,82,1
95,0,95,0,44,0,3.0,44,80.0,1
47,-2.0,95,0,44,0,59.0,44,0,1
37,-6.0,95,0,44,0,42,44,26.0,1
37,-38.0,95,0,44,0,69.0,44,6.0,1
58,0,91,0,44,0,33.0,44,2,1
46,0,95,0,44,5,32.0,44,0,1
55,0,95,0,50,-10,40,44,6.0,4
56,0,95,0,44,10,26.0,44,0,1
55,0,95,0,44,0,37.0,51,8,4
39,-2.0,95,0,44,0,46.0,47,0,1
51,0,95,0,50,0,30.0,44,2,1
37,0,95,0,44,11,38.0,44,16.0,1
41,-2.0,95,0,44,-20,39,44,2,1
53,0,95,0,44,-10,33.0,44,2,1
46,0,95,0,44,0,42,44,0,1
37,0,95,0,44,0,41,44,32.0,1
95,0,95,0,44,0,35.0,44,0,1
38,0,76,0,44,0,38.0,44,0,1
52,0,95,0,44,0,38.0,44,0,1
37,0,95,0,44,4,55.0,44,22.0,1
56,0,77,0,-22,23,21.0,100.0,80.0,4
44,0,95,0,44,1,38.0,51,0,1
37,0,95,0,44,0,51,44,14.0,1
95,0,95,0,44,0,41,44,0,1
52,-3.0,95,0,44,0,33.0,44,82,1
41,0,95,0,44,0,39,44,2,1
56,0,95,0,44,-15,24.0,44,2,1
82,0,95,0,44,0,3.0,44,90.0,1
60,-5.0,95,0,44,0,50,44,2,1
95,0,95,0,44,4,44,44,0,1
95,0,95,0,44,7,41,44,0,1
52,-3.0,95,0,44,0,35.0,44,0,1
37,0,95,0,44,-6,42,44,40,1
43,0,95,0,44,0,51,44,82,1
95,0,95,0,44,-25,51,44,18.0,1
42,-4.0,95,0,44,0,43.0,44,2,1
43,0,95,0,44,0,37.0,44,2,1
78,-2.0,95,0,44,0,4.0,123.0,120.0,1
48,0,95,0,44,0,39,51,2,1
95,0,95,0,44,0,36.0,44,0,1
78,0,95,0,44,0,51,123.0,120.0,1
95,0,77,0,44,0,38.0,44,0,1
43,0,77,0,44,0,51,44,2,1
44,-2.0,95,0,44,-28,51,44,38.0,1
55,-1,95,0,44,0,26.0,44,0,1
41,0,95,0,44,-28,64.0,44,2,1
58,-4.0,95,0,44,0,28.0,44,0,1
37,0,95,0,44,0,39,42,82,1
42,0,95,0,44,0,51,44,2,1
42,0,95,0,44,0,51,51,0,1
95,0,95,0,44,-17,50,44,82,1
42,0,95,0,44,0,33.0,44,82,1
95,0,95,0,44,0,68.0,44,20.0,1
49,-1,95,0,50,5,33.0,44,0,1
46,0,95,0,44,0,31.0,44,0,1
56,0,95,0,44,26,40,44,12.0,4
41,0,95,0,44,0,66.0,44,82,1
56,0,77,0,44,5,22,44,46.0,4
37,0,76,0,44,1,39,50,12.0,1
95,-4.0,95,0,44,4,34.0,44,0,1
49,-2.0,95,0,50,0,51,44,0,1
56,0,95,0,44,19,22,44,42,4
52,0,95,0,44,0,29.0,44,0,1
37,0,77,0,44,-11,40,44,34.0,1
55,0,95,0,-24,-16,26.0,108.0,82.0,4
37,0,95,0,44,0,47.0,44,32.0,1
55,0,95,0,44,27,40,44,8,4
46,0,95,0,44,-21,32.0,44,2,1
51,0,95,0,44,12,51,44,0,1
95,0,95,0,28,0,69.0,51,8,1
54,0,95,0,44,0,29.0,44,0,1
44,0,95,0,44,24,1,44,30.0,1
62,0,95,0,44,0,48.0,47,0,1
55,0,95,0,50,25,37.0,44,82,4
44,0,95,0,44,1,38.0,44,0,1
45,0,95,0,44,0,42,44,82,1
45,0,95,0,44,0,36.0,44,2,1
56,0,77,0,44,-28,22,51,82,4
37,-1,95,0,44,0,39,44,82,1
95,0,95,0,44,11,23.0,44,42,4
45,0,95,0,44,0,44,44,0,1
95,0,95,0,44,0,51,44,0,1
37,-3.0,77,0,44,8,39,51,0,1
37,0,77,0,44,0,40,51,16.0,1
37,-15.0,95,0,44,0,42,44,26.0,1
56,0,95,0,44,1,24.0,44,0,1
47,-4.0,95,0,44,0,39,44,0,1
49,-4.0,95,0,50,0,58.0,44,0,1
57,0,95,0,44,0,25.0,44,0,1
41,0,95,0,44,10,66.0,44,0,1
37,0,95,0,44,13,51,44,26.0,1
62,-2.0,95,0,44,0,45.0,44,2,1
43,0,95,0,44,21,51,42,0,1
55,0,95,0,44,18,32.0,44,0,1
47,-1,95,0,44,0,39,44,82,1
45,-4.0,95,0,44,0,36.0,44,82,1
57,0,95,0,44,0,31.0,44,0,1
37,0,76,0,44,-23,40,44,6.0,1
41,-1,95,0,44,0,51,44,0,1
49,-1,95,0,50,1,30.0,44,0,1
37,0,95,0,44,0,67.0,44,22.0,1
55,0,95,0,44,0,37.0,44,24.0,4
44,-2.0,95,0,44,-23,1,44,38.0,1
55,0,95,0,44,18,42,44,6.0,4
56,0,95,0,44,23,29.0,44,0,1
95,0,95,0,44,9,39,51,0,1
49,-1,95,0,50,4,37.0,44,0,1
37,0,95,0,44,21,41,44,82,1
44,0,95,0,44,0,1,44,82,1
37,0,95,0,44,0,41,44,24.0,1
43,0,95,0,44,15,59.0,44,0,1
56,0,95,0,44,0,36.0,44,0,1
42,0,95,0,44,0,36.0,44,2,1
37,0,95,0,44,0,55.0,44,24.0,1
66,0,95,0,44,4,43.0,42,0,1
39,0,95,0,44,0,51,44,0,1
37,0,95,0,44,0,42,44,30.0,1
84,0,95,0,44,0,3.0,44,88.0,1
51,-4.0,95,0,44,17,35.0,44,0,1
52,-3.0,95,0,44,0,31.0,44,0,1
49,0,95,0,44,-6,51,44,82,1
37,0,95,0,44,22,58.0,44,20.0,1
50,0,95,0,50,0,31.0,44,82,1
44,0,95,0,44,-12,37.0,44,82,1
37,0,76,0,44,-20,40,44,16.0,1
45,0,95,0,44,0,37.0,44,2,1
37,0,95,0,44,-24,42,44,34.0,1
43,0,95,0,44,0,38.0,40,2,1
41,0,95,0,44,0,51,44,0,1
55,0,95,0,44,0,26.0,121.0,82,4
45,-1,95,0,44,0,44,44,0,1
95,0,95,0,44,-12,69.0,44,4.0,1
45,0,95,0,44,5,34.0,44,0,1
37,0,95,0,44,224,42,44,26.0,1
76,0,95,0,44,9,5.0,51,116.0,1
44,-1,95,0,44,3,41,44,0,1
43,-1,76,0,44,19,32.0,44,0,1
56,-2.0,95,0,44,-16,51,44,82,4
56,0,95,0,44,0,32.0,44,2,1
48,0,95,0,44,0,32.0,44,82,1
55,0,77,0,44,0,23.0,44,0,1
37,0,95,0,44,0,60.0,44,4.0,1
55,0,95,0,44,0,23.0,51,56.0,4
56,0,95,0,44,0,40,44,22.0,4
44,0,95,0,44,-19,51,44,82,1
55,-4.0,95,0,50,0,41,47,6.0,4
37,0,95,0,44,0,42,44,40,1
49,0,95,0,50,0,46.0,44,0,1
37,0,95,0,44,0,58.0,44,26.0,1
44,0,95,0,44,-16,56.0,44,2,1
44,-4.0,95,0,44,0,1,51,82,1
37,0,95,0,44,0,41,44,10.0,1
56,0,95,0,44,0,31.0,44,82,1
56,0,76,0,44,-19,20.0,44,68.0,4
42,0,95,0,44,0,38.0,44,0,1
37,0,95,0,44,0,39,44,82,1
80,0,95,0,44,0,4.0,112.0,108.0,1
45,0,95,0,44,0,34.0,44,2,1
95,0,95,0,44,0,46.0,51,2,1
44,0,95,0,44,4,43.0,42,82,1
50,-1,95,0,50,-1,36.0,44,0,1
51,-1,95,0,44,-6,36.0,44,2,1
45,-1,95,0,44,14,33.0,44,82,1
46,0,95,0,44,4,41,40,82,1
37,0,95,0,44,-23,46.0,51,6.0,1
42,0,95,0,44,0,42,44,82,1
56,0,95,0,44,0,33.0,44,82,1
37,0,95,0,44,0,43.0,44,10.0,1
42,-1,95,0,44,0,45.0,44,2,1
37,0,95,0,44,5,38.0,44,16.0,1
37,0,95,0,44,-29,59.0,44,18.0,1
95,0,95,0,44,26,4.0,44,80.0,1
56,0,95,0,44,-1,40,44,4.0,4
95,0,95,0,44,11,32.0,44,0,1
56,0,95,0,44,0,23.0,44,50,4
37,0,95,0,44,-18,51,44,14.0,1
95,0,77,0,44,0,40,44,10.0,1
41,0,76,0,44,25,35.0,44,0,1
41,-5.0,95,0,44,10,47.0,44,0,1
45,-4.0,95,0,44,-19,51,44,2,1
56,0,95,0,44,26,51.0,50,0,1
49,0,95,0,44,0,51,44,2,1
95,0,95,0,44,0,40,51,2,1
50,-2.0,95,0,50,0,32.0,51,0,1
48,-2.0,95,0,44,0,47.0,44,2,1
95,0,95,0,44,1,41,44,4.0,4
56,0,95,0,44,0,37.0,44,10.0,4
37,0,95,0,44,0,47.0,51,82,1
41,0,95,0,44,-21,41,44,2,1
55,0,77,0,44,8,51,44,74.0,4
62,0,95,0,44,11,48.0,47,0,1
95,0,95,0,44,21,41,44,4.0,4
43,-2.0,77,0,44,0,34.0,51,2,1
50,0,95,0,44,0,60.0,44,82,1
95,0,77,0,44,0,40,44,82,1
48,-4.0,95,0,44,0,31.0,44,2,1
37,0,77,0,44,0,40,44,36.0,1
49,0,95,0,50,14,29.0,44,82,1
55,0,95,0,44,0,27.0,44,0,1
58,0,95,0,44,0,24.0,44,0,1
37,0,95,0,44,1,43.0,47,4.0,1
46,-2.0,95,0,44,5,47.0,44,0,1
41,-3.0,95,0,44,12,37.0,44,0,1
46,0,95,0,44,7,40,44,0,1
56,0,95,0,44,14,40,42,2,1
42,-3.0,95,0,44,0,57.0,44,82,1
95,-3.0,95,0,44,0,41,44,0,1
41,0,95,0,44,17,40,44,0,1
46,0,95,0,44,-26,42,44,2,1
80,-4.0,95,0,44,0,4.0,44,96.0,1
85,0,95,0,44,0,3.0,91,88.0,1
37,0,95,0,44,23,38.0,44,12.0,1
56,-1,95,0,44,3,40,42,2,1
95,0,95,0,44,0,23.0,44,50,1
55,-1,95,0,44,-20,51,44,34.0,1
41,0,95,0,44,10,45.0,44,82,1
37,0,77,0,44,0,41,51,82,1
83,0,95,0,44,0,3.0,44,90.0,1
56,0,77,0,44,-1,22,44,40,4
41,0,95,0,44,0,40,44,0,1
55,0,95,0,44,-24,23.0,44,32.0,4
44,-3.0,95,0,44,0,42,42,0,1
44,0,95,0,44,15,40,40,0,1
44,0,76,0,44,8,32.0,51,0,1
37,0,77,0,28,511,40,44,8,1
37,0,95,0,44,0,44,44,14.0,1
95,0,76,0,44,12,32.0,51,0,1
37,0,77,0,44,2,40,44,4.0,1
37,0,95,0,44,0,42,44,2,1
54,0,95,0,44,0,28.0,44,0,1
49,0,95,0,50,1,51,44,0,1
37,0,76,0,28,24,39,44,8,1
44,0,95,0,44,0,42,42,0,1
45,0,77,0,44,-14,32.0,44,2,1
42,-2.0,95,0,44,0,43.0,44,0,1
51,0,95,0,44,9,32.0,44,82,1
37,0,95,0,28,0,41,50,8,1
42,0,95,0,44,0,37.0,44,0,1
55,0,95,0,44,0,41,44,14.0,4
95,0,76,0,44,0,30.0,44,0,1
57,0,95,0,44,0,25.0,44,0,1
56,0,95,0,44,1,39,51,2,1
95,0,95,0,44,-13,26.0,44,68.0,4
56,0,95,0,44,4,24.0,44,58.0,4
44,0,95,0,44,8,51,44,34.0,1
56,0,95,0,44,0,26.0,44,0,1
45,0,77,0,44,31,31.0,44,0,1
57,0,95,0,44,0,24.0,44,0,1
59,0,95,0,44,3,28.0,44,0,1
55,0,95,0,50,0,41,47,82,4
95,0,95,0,44,0,44,44,82,1
43,0,77,0,44,0,51,44,2,1
51,0,95,0,44,9,51.0,50,0,1
95,0,95,0,44,-10,58.0,44,82,1
56,0,77,0,44,5,21.0,44,66.0,4
95,0,95,0,44,9,43.0,42,0,1
95,0,95,0,44,0,30.0,51,2,1
37,0,95,0,44,0,69.0,44,14.0,1
43,-2.0,95,0,44,-10,37.0,44,2,1
42,0,95,0,44,0,51,44,2,1
43,-1,95,0,44,0,51,42,2,1
95,0,95,0,44,0,60.0,51,2,1
56,0,95,0,44,-16,34.0,44,2,1
44,0,95,0,44,-30,42,44,2,1
43,0,95,0,44,0,43.0,44,2,1
55,0,77,0,28,-12,21.0,44,28.0,4
37,0,95,0,44,0,51,44,2,1
64,0,95,0,44,-12,51,44,2,1
44,0,95,0,44,-13,37.0,44,2,1
37,0,95,0,44,0,41,44,2,1
37,0,95,0,44,20,41,44,26.0,1
45,0,95,0,44,-12,41,42,2,1
41,0,95,0,44,0,41,44,0,1
49,0,95,0,50,11,33.0,44,0,1
95,0,95,0,44,11,5.0,51,118.0,1
53,0,95,0,44,-14,33.0,51,2,1
37,0,95,0,44,0,51,44,6.0,1
55,0,95,0,44,0,30.0,44,82,1
50,0,77,0,50,0,27.0,44,2,1
37,-1,95,0,44,0,69.0,44,0,1
41,0,95,0,44,10,51,44,0,1
37,0,95,0,44,-13,51,44,6.0,1
39,-3.0,95,0,44,0,51,51,0,1
37,-2.0,95,0,44,-13,37.0,44,2,1
37,0,77,0,-24,0,41,103,82,1
55,0,95,0,44,0,27.0,114.0,86.0,4
43,0,95,0,44,0,38.0,40,2,1
49,0,95,0,50,2,53.0,44,0,1
38,-3.0,77,0,44,0,39,44,0,1
45,0,76,0,44,0,31.0,44,2,1
37,-5.0,77,0,44,1,51,51,0,1
95,0,95,0,44,10,37.0,44,82,1
37,0,95,0,44,0,58.0,51,22.0,1
37,0,95,0,44,0,46.0,44,40,1
59,0,95,0,44,0,27.0,44,2,1
37,0,95,0,44,-24,47.0,44,22.0,1
45,-1,95,0,44,9,34.0,44,0,1
45,-1,95,0,44,-16,42,51,2,1
55,0,95,-24,44,0,17.0,44,56.0,4
38,0,95,0,44,5,69.0,44,0,1
45,-4.0,95,0,44,-15,33.0,51,2,1
44,-3.0,77,0,44,17,33.0,44,0,1
95,0,95,0,-22,-13,51,108.0,82,1
37,0,95,0,44,0,44,51,0,1
48,0,95,0,44,0,34.0,51,2,1
41,0,95,0,44,0,39,44,0,1
41,0,77,0,44,0,36.0,44,0,1
47,0,95,0,44,0,40,40,0,1
95,0,95,0,44,0,41,44,18.0,1
41,0,95,0,44,5,38.0,44,0,1
42,0,95,0,44,0,51,51,2,1
62,0,95,0,44,0,47.0,44,82,1
49,0,95,0,50,8,36.0,44,82,1
95,0,95,0,44,0,49.0,44,2,1
37,0,77,0,44,0,51,44,28.0,1
37,0,77,0,44,0,40,44,28.0,1
48,0,95,0,44,0,36.0,44,82,1
45,0,95,0,44,18,40,44,0,1
95,0,95,0,44,0,39,40,0,1
56,0,95,0,50,1,40,47,8,1
37,0,95,0,44,-23,46.0,51,34.0,1
37,0,95,0,44,13,44,44,40,1
54,0,95,0,44,0,28.0,44,0,1
95,0,76,0,44,0,33.0,44,2,1
95,0,95,0,44,1,23.0,44,48.0,1
41,-1,95,0,44,15,41,40,0,1
79,0,95,0,44,38,4.0,51,110.0,1
37,0,95,0,44,1,44,44,16.0,1
