Dataset: beers
Original file: /root/datarepair/datasets/beers/dirty.csv
Clean file: /root/datarepair/datasets/beers/clean.csv
Repaired file: /root/datarepair/baselines/raha/repaired_datasets/beers/repaired_dirty.csv
Processing time: 180.43 seconds
Total errors detected: 4362
Total corrections applied: 4050

Corrections applied (Row,Column,Original_Value,Corrected_Value):
402,3,"16.0 ounce","12"
403,3,"16.0 oz.","16"
404,3,"16.0 oz.","16"
405,3,"16.0 oz.","16"
406,3,"16.0 oz. Silo Can","12"
407,3,"16.0 oz.","16"
408,3,"16.0 oz","16"
409,3,"16.0 ounce","12"
410,3,"16.0 oz.","16"
411,3,"16.0 oz","16"
412,3,"16.0 oz","16"
413,3,"16.0 oz.","16"
414,3,"16.0 oz.","16"
415,3,"16.0 oz.","16"
416,3,"16.0 oz.","16"
417,3,"16.0 oz.","16"
418,3,"16.0 ounce","12"
419,3,"16.0 oz.","16"
420,3,"16.0 oz.","16"
421,3,"16.0 oz","16"
422,3,"16.0 oz","16"
423,3,"16.0 ounce","12"
424,3,"16.0 oz","16"
425,3,"16.0 oz.","16"
426,3,"16.0 oz","16"
427,3,"16.0 oz. Alumi-Tek","12"
428,3,"16.0 ounce","12"
429,3,"16.0 oz.","16"
430,3,"16.0 oz","16"
431,3,"16.0 ounce","12"
432,3,"16.0 ounce","12"
433,3,"16.0 oz","16"
434,3,"16.0 oz.","16"
435,3,"16.0 ounce","12"
436,3,"16.0 oz.","16"
437,3,"16.0 OZ.","16"
438,3,"16.0 oz","16"
439,3,"16.0 oz.","16"
440,3,"16.0 oz","16"
441,3,"16.0 ounce","12"
442,3,"16.0 oz.","16"
443,3,"16.0 oz.","16"
444,3,"16.0 oz","16"
445,3,"16.0 oz","16"
446,3,"16.0 oz. Alumi-Tek","12"
447,3,"16.0 oz.","16"
448,3,"16.0 oz.","16"
449,3,"16.0 oz","16"
450,3,"12.0 oz.","12"
451,3,"12.0 oz.","12"
452,3,"16.0 oz","16"
453,3,"12.0 oz.","12"
454,3,"12.0 oz. Alumi-Tek","16"
455,3,"12.0 oz.","12"
456,3,"12.0 oz.","12"
457,3,"16.0 oz","16"
458,3,"12.0 ounce","12"
459,3,"12.0 oz.","12"
460,3,"12.0 OZ.","12"
461,3,"16.0 oz.","16"
462,3,"12.0 oz. Alumi-Tek","12"
463,3,"16.0 oz","16"
464,3,"16.0 oz. Alumi-Tek","12"
465,3,"16.0 oz.","16"
466,3,"16.0 oz","16"
467,3,"16.0 oz","16"
468,3,"16.0 oz.","16"
469,3,"16.0 oz.","16"
470,3,"16.0 ounce","12"
471,3,"12.0 oz.","12"
472,3,"12.0 oz.","12"
473,3,"12.0 oz","12"
474,3,"16.0 ounce","12"
475,3,"16.0 OZ.","16"
476,3,"16.0 oz","16"
477,3,"24.0 oz.","24"
478,3,"12.0 oz","12"
479,3,"12.0 ounce","12"
480,3,"12.0 oz.","12"
481,3,"16.0 oz.","16"
482,3,"16.0 ounce","12"
483,3,"16.0 oz","16"
484,3,"16.0 oz","16"
485,3,"16.0 oz","16"
486,3,"12.0 oz","12"
487,3,"12.0 ounce","12"
488,3,"12.0 ounce","12"
489,3,"12.0 oz.","12"
490,3,"12.0 oz","12"
491,3,"12.0 ounce","12"
492,3,"12.0 ounce","12"
493,3,"12.0 oz. Alumi-Tek","12"
494,3,"12.0 oz.","12"
495,3,"16.0 oz.","16"
496,3,"16.0 oz.","16"
497,3,"16.0 oz.","16"
498,3,"16.0 ounce","12"
499,3,"16.0 oz","16"
500,3,"16.0 oz.","16"
501,3,"16.0 oz","16"
502,3,"16.0 OZ.","16"
503,3,"16.0 ounce","12"
504,3,"12.0 ounce","12"
505,3,"12.0 ounce","12"
506,3,"12.0 oz.","12"
507,3,"12.0 oz","12"
508,3,"12.0 ounce","12"
509,3,"12.0 oz","12"
510,3,"12.0 OZ.","12"
511,3,"12.0 oz","12"
512,3,"12.0 ounce","12"
513,3,"12.0 oz.","12"
514,3,"12.0 ounce","12"
515,3,"12.0 oz.","12"
516,3,"12.0 oz. Alumi-Tek","12"
517,3,"12.0 oz","12"
518,3,"12.0 oz.","12"
519,3,"12.0 oz.","12"
520,3,"12.0 oz","12"
521,3,"12.0 ounce","12"
522,3,"12.0 oz. Alumi-Tek","12"
523,3,"12.0 oz.","12"
524,3,"16.0 oz.","16"
525,3,"16.0 oz.","16"
526,3,"12.0 oz","12"
527,3,"12.0 oz.","12"
528,3,"12.0 ounce","12"
529,3,"16.0 oz.","16"
530,3,"16.0 oz.","16"
531,3,"12.0 oz","12"
532,3,"12.0 ounce","12"
533,3,"12.0 oz.","12"
534,3,"12.0 ounce","12"
535,3,"16.0 OZ.","16"
536,3,"12.0 oz.","12"
537,3,"12.0 ounce","12"
538,3,"12.0 oz.","12"
539,3,"12.0 ounce","12"
540,3,"12.0 ounce","12"
541,3,"12.0 ounce","12"
542,3,"12.0 ounce","12"
543,3,"12.0 ounce","12"
544,3,"12.0 oz","12"
545,3,"16.0 oz","16"
546,3,"12.0 oz.","12"
547,3,"12.0 oz.","12"
548,3,"16.0 oz.","16"
549,3,"16.0 ounce","12"
550,3,"16.0 oz","16"
551,3,"12.0 oz.","12"
552,3,"16.0 oz.","16"
553,3,"16.0 oz","16"
554,3,"12.0 oz","12"
555,3,"12.0 ounce","12"
556,3,"12.0 oz.","12"
557,3,"12.0 oz. Alumi-Tek","12"
558,3,"12.0 OZ.","12"
559,3,"12.0 oz.","12"
560,3,"12.0 oz.","12"
561,3,"16.0 ounce","12"
562,3,"16.0 OZ.","16"
563,3,"12.0 oz","12"
564,3,"12.0 oz","12"
565,3,"16.0 oz.","16"
566,3,"16.0 oz.","16"
567,3,"16.0 oz","16"
568,3,"16.0 oz.","16"
569,3,"16.0 oz","16"
570,3,"16.0 oz.","16"
571,3,"12.0 ounce","12"
572,3,"12.0 oz","12"
573,3,"12.0 ounce","12"
574,3,"12.0 oz. Alumi-Tek","12"
575,3,"12.0 ounce","12"
576,3,"12.0 OZ.","12"
577,3,"16.0 oz","16"
578,3,"16.0 oz.","16"
579,3,"16.0 oz.","16"
580,3,"16.0 oz","16"
581,3,"24.0 oz","24"
582,3,"12.0 OZ.","12"
583,3,"12.0 oz","12"
584,3,"12.0 oz","12"
585,3,"16.0 oz. Alumi-Tek","12"
586,3,"16.0 oz. Alumi-Tek","12"
587,3,"16.0 oz.","16"
588,3,"16.0 oz.","16"
589,3,"16.0 ounce","12"
590,3,"16.0 ounce","12"
591,3,"16.0 oz","16"
592,3,"16.0 oz.","16"
593,3,"16.0 ounce","12"
594,3,"12.0 oz.","12"
595,3,"12.0 oz","12"
596,3,"12.0 oz.","12"
597,3,"12.0 ounce","12"
598,3,"12.0 oz.","12"
599,3,"12.0 oz","12"
600,3,"12.0 oz.","12"
601,3,"12.0 oz","12"
602,3,"12.0 oz.","12"
603,3,"12.0 oz.","12"
604,3,"12.0 oz. Alumi-Tek","12"
605,3,"12.0 oz. Silo Can","12"
606,3,"12.0 ounce","12"
607,3,"12.0 oz. Alumi-Tek","16"
608,3,"12.0 oz.","12"
609,3,"12.0 ounce","12"
610,3,"12.0 oz.","12"
611,3,"12.0 oz.","12"
612,3,"16.0 oz","16"
613,3,"12.0 oz","12"
614,3,"12.0 ounce","12"
615,3,"12.0 oz","12"
616,3,"12.0 oz","12"
617,3,"12.0 ounce","12"
618,3,"12.0 oz","12"
619,3,"12.0 oz.","12"
620,3,"12.0 oz","12"
621,3,"12.0 oz","12"
622,3,"12.0 oz. Alumi-Tek","12"
623,3,"12.0 oz.","12"
624,3,"12.0 oz","12"
625,3,"12.0 oz.","12"
626,3,"12.0 oz.","12"
627,3,"12.0 oz","12"
628,3,"12.0 oz.","12"
629,3,"12.0 oz.","12"
630,3,"16.0 oz.","16"
631,3,"12.0 oz","12"
632,3,"16.0 oz","16"
633,3,"12.0 oz","12"
634,3,"12.0 ounce","12"
635,3,"12.0 ounce","12"
636,3,"12.0 ounce","12"
637,3,"12.0 oz.","12"
638,3,"12.0 oz","12"
639,3,"16.0 OZ.","16"
640,3,"16.0 ounce","12"
641,3,"16.0 ounce","12"
642,3,"16.0 oz.","16"
643,3,"12.0 oz.","12"
644,3,"12.0 oz","12"
645,3,"12.0 ounce","12"
646,3,"12.0 oz.","12"
647,3,"12.0 oz","12"
648,3,"12.0 ounce","12"
649,3,"16.0 oz.","16"
650,3,"16.0 oz","16"
651,3,"16.0 oz.","16"
652,3,"12.0 OZ.","12"
653,3,"12.0 oz","12"
654,3,"12.0 oz. Alumi-Tek","12"
655,3,"12.0 oz.","12"
656,3,"12.0 ounce","12"
657,3,"12.0 oz.","12"
658,3,"12.0 ounce","12"
659,3,"12.0 ounce","12"
660,3,"12.0 oz.","12"
661,3,"12.0 ounce","12"
662,3,"12.0 oz.","12"
663,3,"12.0 oz.","12"
664,3,"12.0 oz","12"
665,3,"12.0 OZ.","12"
666,3,"12.0 oz","12"
667,3,"12.0 oz.","12"
668,3,"12.0 oz","12"
669,3,"12.0 ounce","12"
670,3,"12.0 oz","12"
671,3,"12.0 oz.","12"
672,3,"16.0 oz.","16"
673,3,"16.0 oz","16"
674,3,"16.0 oz","16"
675,3,"16.0 oz.","16"
676,3,"16.0 oz","16"
677,3,"16.0 oz.","16"
678,3,"12.0 oz","12"
679,3,"12.0 oz. Alumi-Tek","12"
680,3,"12.0 oz","12"
681,3,"12.0 oz","12"
682,3,"12.0 oz","12"
683,3,"12.0 oz.","12"
684,3,"12.0 oz.","12"
685,3,"12.0 oz.","12"
686,3,"12.0 ounce","12"
687,3,"12.0 oz","12"
688,3,"16.0 oz.","16"
689,3,"16.0 ounce","12"
690,3,"16.0 ounce","12"
691,3,"12.0 oz.","12"
692,3,"12.0 oz","12"
693,3,"12.0 oz","12"
694,3,"12.0 ounce","12"
695,3,"12.0 ounce","12"
696,3,"12.0 oz.","12"
697,3,"12.0 oz","12"
698,3,"12.0 oz","12"
699,3,"12.0 oz.","12"
700,3,"16.0 oz","16"
701,3,"12.0 oz.","12"
702,3,"12.0 oz.","12"
703,3,"12.0 oz","12"
704,3,"12.0 oz","12"
705,3,"12.0 oz","12"
706,3,"12.0 ounce","12"
707,3,"12.0 oz.","12"
708,3,"12.0 oz","12"
709,3,"12.0 oz","12"
710,3,"12.0 oz","12"
711,3,"12.0 oz.","12"
712,3,"12.0 oz.","12"
713,3,"12.0 oz","12"
714,3,"12.0 OZ.","12"
715,3,"12.0 ounce","12"
716,3,"12.0 OZ.","12"
717,3,"12.0 oz.","12"
718,3,"12.0 oz.","12"
719,3,"12.0 ounce","12"
720,3,"12.0 oz.","12"
721,3,"12.0 OZ.","12"
722,3,"16.0 oz.","16"
723,3,"16.0 OZ.","16"
724,3,"16.0 oz","16"
725,3,"16.0 oz","16"
726,3,"12.0 oz.","12"
727,3,"16.0 ounce","12"
728,3,"12.0 OZ.","12"
729,3,"16.0 oz. Alumi-Tek","12"
730,3,"16.0 oz.","16"
731,3,"16.0 ounce","12"
732,3,"16.0 oz","16"
733,3,"16.0 ounce","12"
734,3,"16.0 oz","16"
735,3,"12.0 oz","12"
736,3,"12.0 oz","12"
737,3,"12.0 OZ.","12"
738,3,"12.0 ounce","12"
739,3,"12.0 oz","12"
740,3,"12.0 ounce","12"
741,3,"12.0 ounce","12"
742,3,"12.0 oz.","12"
743,3,"16.0 ounce","12"
744,3,"16.0 ounce","12"
745,3,"16.0 OZ.","16"
746,3,"16.0 oz.","16"
747,3,"16.0 ounce","12"
748,3,"16.0 ounce","12"
749,3,"16.0 oz","16"
750,3,"16.0 oz.","16"
751,3,"16.0 oz. Silo Can","12"
752,3,"12.0 ounce","12"
753,3,"16.0 ounce","12"
754,3,"12.0 oz. Alumi-Tek","12"
755,3,"12.0 oz","12"
756,3,"12.0 oz.","12"
757,3,"12.0 oz.","12"
758,3,"12.0 ounce","12"
759,3,"12.0 oz.","12"
760,3,"16.0 ounce","12"
761,3,"16.0 ounce","12"
762,3,"16.0 oz.","16"
763,3,"16.0 oz.","16"
764,3,"16.0 oz","16"
765,3,"16.0 oz","16"
766,3,"12.0 oz","12"
767,3,"16.0 oz.","16"
768,3,"12.0 oz.","12"
769,3,"12.0 oz","12"
770,3,"12.0 oz.","12"
771,3,"12.0 oz.","12"
772,3,"12.0 oz.","12"
773,3,"12.0 oz","12"
774,3,"12.0 oz","12"
775,3,"16.0 oz.","16"
776,3,"16.0 oz","16"
777,3,"16.0 oz.","16"
778,3,"16.0 oz.","16"
779,3,"16.0 oz","16"
780,3,"16.0 ounce","12"
781,3,"16.0 ounce","12"
782,3,"16.0 oz.","16"
783,3,"16.0 OZ.","16"
784,3,"16.0 OZ.","16"
785,3,"16.0 oz","16"
786,3,"16.0 ounce","12"
787,3,"12.0 oz.","12"
788,3,"16.0 oz.","16"
789,3,"16.0 oz.","16"
790,3,"16.0 oz.","16"
791,3,"12.0 oz.","12"
792,3,"12.0 oz.","12"
793,3,"12.0 oz.","12"
794,3,"16.0 oz.","16"
795,3,"16.0 ounce","12"
796,3,"16.0 oz.","16"
797,3,"16.0 ounce","12"
798,3,"16.0 oz.","16"
799,3,"16.0 oz. Alumi-Tek","12"
800,3,"16.0 ounce","16"
801,3,"16.0 ounce","12"
802,3,"16.0 oz","16"
803,3,"16.0 oz","16"
804,3,"12.0 oz","12"
805,3,"12.0 oz.","12"
806,3,"12.0 oz.","12"
807,3,"12.0 oz","12"
808,3,"12.0 oz","12"
809,3,"16.0 oz.","16"
810,3,"16.0 ounce","12"
811,3,"16.0 ounce","12"
812,3,"12.0 ounce","12"
813,3,"16.0 oz","16"
814,3,"12.0 ounce","12"
815,3,"12.0 oz.","12"
816,3,"12.0 oz.","12"
817,3,"12.0 ounce","12"
818,3,"12.0 oz. Alumi-Tek","12"
819,3,"12.0 oz","12"
820,3,"12.0 ounce","12"
821,3,"12.0 oz","12"
822,3,"12.0 oz.","12"
823,3,"12.0 oz.","12"
824,3,"12.0 oz.","12"
825,3,"12.0 ounce","12"
826,3,"16.0 oz.","16"
827,3,"16.0 oz.","16"
828,3,"16.0 oz.","16"
829,3,"16.0 ounce","12"
830,3,"16.0 oz.","16"
831,3,"16.0 oz.","16"
832,3,"16.0 oz","16"
833,3,"16.0 ounce","12"
834,3,"16.0 oz","16"
835,3,"16.0 ounce","12"
836,3,"12.0 oz.","12"
837,3,"12.0 oz.","12"
838,3,"12.0 ounce","12"
